STT,PCS,Location,Alley_Number,Quantity,Coord,ProductID,DateProduct
0,1,A1119504,A11,4,"[19.5, 21.0, 1]",A1117,12/11/2018
1,1,A0721204,A07,20,"[32.5, 22.5, 1]",A0721,12/11/2018
3,1,A0706401,A07,6,"[31.25, 10.5, 1]",A0706,12/11/2018
4,1,A0216107,A02,6,"[47.5, 18.0, 1]",A0216,12/11/2018
5,1,A0308201,A03,20,"[44.25, 12.0, 1]",A0308,12/11/2018
6,1,A0403203,A04,20,"[42.25, 9.0, 1]",A0403,12/11/2018
7,2,A0503203,A05,20,"[39.0, 9.0, 1]",A0503,12/11/2018
8,1,A1020501,A10,20,"[20.75, 21.0, 1]",A1020,12/11/2018
10,1,A0719102,A07,20,"[32.5, 21.0, 1]",A0719,12/11/2018
11,1,A0721204,A07,20,"[31.25, 16.5, 1]",A0721,12/11/2018
13,1,A0309308,A03,6,"[45.5, 13.5, 1]",A0309,12/11/2018
15,1,A0322308,A03,20,"[44.25, 22.5, 1]",A0322,12/11/2018
18,1,A0609202,A06,20,"[35.75, 13.5, 1]",A0609,12/11/2018
21,1,A1011204,A10,20,"[22.75, 15.0, 1]",A1011,12/11/2018
23,1,A0410303,A04,20,"[41.0, 13.5, 1]",A0410,12/11/2018
24,1,A0507401,A05,20,"[39.0, 12.0, 1]",A0507,12/11/2018
25,1,A0306304,A03,20,"[44.25, 10.5, 1]",A0306,12/11/2018
26,1,A1004103,A10,20,"[20.75, 9.0, 1]",A1004,12/11/2018
27,2,A0202206,A02,20,"[47.5, 6.0, 1]",A0202,12/11/2018
28,1,A0413203,A04,20,"[42.25, 16.5, 1]",A0413,12/11/2018
29,1,A1117201,A11,20,"[19.5, 19.5, 1]",A1117,12/11/2018
31,1,A0310504,A03,20,"[44.25, 13.5, 1]",A1117,12/11/2018
33,2,A1120101,A11,6,"[15.25, 21.0, 1]",A1120,12/11/2018
34,1,A0302402,A03,20,"[44.25, 6.0, 1]",A0302,12/11/2018
37,1,A0321403,A03,20,"[45.5, 22.5, 1]",A0321,12/11/2018
40,1,A0919502,A09,20,"[26, 21.0, 1]",A0919,12/11/2018
43,1,A0320505,A03,20,"[44.25, 21.0, 1]",A0320,12/11/2018
47,1,A0506502,A05,20,"[37.75, 10.5, 1]",A0506,12/11/2018
49,1,A0512402,A05,20,"[37.75, 15.0, 1]",A0512,12/11/2018
50,1,A0621204,A06,20,"[35.75, 22.5, 1]",A0621,12/11/2018
51,1,A0317501,A03,20,"[45.5, 19.5, 1]",A0317,12/11/2018
52,1,A0314404,A03,20,"[44.25, 16.5, 1]",A0314,12/11/2018
57,1,A0904101,A09,20,"[24, 9.0, 1]",A0904,12/11/2018
59,1,A0711102,A07,20,"[32.5, 15.0, 1]",A0711,12/11/2018
61,1,A0520304,A05,20,"[37.75, 21.0, 1]",A0520,12/11/2018
66,1,A0614103,A06,20,"[34.5, 16.5, 1]",A0614,12/11/2018
67,1,A0412503,A04,20,"[41.0, 15.0, 1]",A0412,12/11/2018
68,1,A0906503,A09,20,"[24, 10.5, 1]",A0906,12/11/2018
69,2,A0510402,A05,20,"[37.75, 13.5, 1]",A0510,12/11/2018
70,2,A1007501,A10,20,"[22.75, 12.0, 1]",A1004,12/11/2018
73,1,A0612503,A06,20,"[34.5, 15.0, 1]",A0612,12/11/2018
74,1,A0710204,A07,20,"[31.25, 13.5, 1]",A0706,12/11/2018
77,1,A0416404,A04,20,"[41.0, 18.0, 1]",A0416,12/11/2018
78,1,A0914502,A09,20,"[24, 16.5, 1]",A0906,12/11/2018
79,1,A1009503,A10,20,"[22.75, 13.5, 1]",A1004,12/11/2018
80,1,A0916101,A09,20,"[24, 18.0, 1]",A0906,12/11/2018
81,1,A0407103,A04,20,"[42.25, 12.0, 1]",A0407,12/11/2018
82,1,A1014403,A10,20,"[20.75, 16.5, 1]",A1008,12/11/2018
83,1,A0604504,A06,20,"[34.5, 9.0, 1]",A0604,12/11/2018
85,1,A0918103,A09,20,"[24, 19.5, 1]",A0918,12/11/2018
86,1,A0312506,A03,20,"[44.25, 15.0, 1]",A0312,12/11/2018
87,1,A0911204,A09,20,"[26, 15.0, 1]",A0911,12/11/2018
89,1,A0606502,A06,20,"[34.5, 10.5, 1]",A0606,12/11/2018
90,1,A0920204,A09,20,"[24, 21.0, 1]",A0920,12/11/2018
93,1,A0610401,A06,20,"[34.5, 13.5, 1]",A0610,12/11/2018
95,1,A0917401,A09,20,"[26, 19.5, 1]",A0911,12/11/2018
98,1,A1008402,A10,20,"[20.75, 12.0, 1]",A1008,12/11/2018
99,1,A0313306,A03,20,"[45.5, 16.5, 1]",A0714,12/11/2018
100,2,A0608204,A06,20,"[34.5, 12.0, 1]",A0608,12/11/2018
