STT,DATE,OrderNumber,Coord
0,12/11/2018,0001,"[19.5, 21.0]"
1,12/11/2018,0001,"[32.5, 22.5]"
2,12/11/2018,0001,"[19.5, 21.0]"
3,12/11/2018,0002,"[31.25, 10.5]"
4,12/11/2018,0002,"[47.5, 18.0]"
5,12/11/2018,0002,"[44.25, 12.0]"
6,12/11/2018,0003,"[42.25, 9.0]"
7,12/11/2018,0003,"[39.0, 9.0]"
8,12/11/2018,0004,"[20.75, 21.0]"
9,12/11/2018,0005,"[44.25, 10.5]"
10,12/11/2018,0005,"[32.5, 21.0]"
11,12/11/2018,0005,"[31.25, 16.5]"
12,12/11/2018,0005,"[31.25, 16.5]"
13,12/11/2018,0006,"[45.5, 13.5]"
14,12/11/2018,0006,"[34.5, 12.0]"
15,12/11/2018,0006,"[44.25, 22.5]"
16,12/11/2018,0007,"[19.5, 21.0]"
17,12/11/2018,0007,"[19.5, 21.0]"
18,12/11/2018,0007,"[35.75, 13.5]"
19,12/11/2018,0007,"[22.75, 15.0]"
20,12/11/2018,0008,"[31.25, 16.5]"
21,12/11/2018,0008,"[22.75, 15.0]"
22,12/11/2018,0008,"[19.5, 21.0]"
23,12/11/2018,0008,"[41.0, 13.5]"
24,12/11/2018,0008,"[39.0, 12.0]"
25,12/11/2018,0008,"[44.25, 10.5]"
26,12/11/2018,0009,"[20.75, 9.0]"
27,12/11/2018,0009,"[47.5, 6.0]"
28,12/11/2018,0010,"[42.25, 16.5]"
29,12/11/2018,0010,"[44.25, 13.5]"
30,12/11/2018,0010,"[39.0, 12.0]"
31,12/11/2018,0010,"[19.5, 19.5]"
32,12/11/2018,0010,"[31.25, 16.5]"
33,12/11/2018,0011,"[15.25, 21.0]"
34,12/11/2018,0011,"[44.25, 6.0]"
35,12/11/2018,0011,"[19.5, 21.0]"
36,12/11/2018,0011,"[19.5, 21.0]"
37,12/11/2018,0011,"[45.5, 22.5]"
38,12/11/2018,0012,"[19.5, 21.0]"
39,12/11/2018,0012,"[45.5, 13.5]"
40,12/11/2018,0012,"[26, 21.0]"
41,12/11/2018,0012,"[19.5, 21.0]"
42,12/11/2018,0012,"[19.5, 21.0]"
43,12/11/2018,0012,"[44.25, 21.0]"
44,12/11/2018,0012,"[44.25, 22.5]"
45,12/11/2018,0012,"[19.5, 21.0]"
46,12/11/2018,0012,"[19.5, 21.0]"
47,12/11/2018,0012,"[37.75, 10.5]"
48,12/11/2018,0012,"[26, 21.0]"
