STT,PCS,Location,Alley_Number,Quantity,Coord,ProductID,SubProductID
0,1,A1119504,A11,4,"[19.5, 21.0, 1]",A1117,A1117_1
1,1,A0721204,A07,20,"[32.5, 22.5, 1]",A0721,A0721_1
3,1,A0706401,A07,20,"[31.25, 10.5, 1]",A0706,A0706_1
4,1,A0216107,A02,20,"[47.5, 18.0, 1]",A0216,A0216_1
5,1,A0308201,A03,20,"[44.25, 12.0, 1]",A0308,A0308_1
6,1,A0403203,A04,20,"[42.25, 9.0, 1]",A0403,A0403_1
7,2,A0503203,A05,20,"[39.0, 9.0, 1]",A0503,A0503_1
8,1,A1020501,A10,20,"[20.75, 21.0, 1]",A1020,A1020_1
10,1,A0719102,A07,20,"[32.5, 21.0, 1]",A0719,A0719_1
11,1,A0714203,A07,20,"[31.25, 16.5, 1]",A0714,A0714_1
13,1,A0309308,A03,20,"[45.5, 13.5, 1]",A0309,A0309_1
15,1,A0322308,A03,20,"[44.25, 22.5, 1]",A0322,A0322_1
18,1,A0609202,A06,20,"[35.75, 13.5, 1]",A0609,A0609_1
21,1,A1011204,A10,20,"[22.75, 15.0, 1]",A1011,A1011_1
23,1,A0410303,A04,20,"[41.0, 13.5, 1]",A0410,A0410_1
24,1,A0507401,A05,20,"[39.0, 12.0, 1]",A0507,A0507_1
25,1,A0306304,A03,20,"[44.25, 10.5, 1]",A0306,A0306_1
26,1,A1004103,A10,20,"[20.75, 9.0, 1]",A1004,A1004_1
27,2,A0202206,A02,20,"[47.5, 6.0, 1]",A0202,A0202_1
28,1,A0413203,A04,20,"[42.25, 16.5, 1]",A0413,A0413_1
29,1,A0310504,A03,20,"[44.25, 13.5, 1]",A0310,A0310_1
31,1,A1117201,A11,20,"[19.5, 19.5, 1]",A1117,A1117_2
33,2,A1120101,A11,20,"[15.25, 21.0, 1]",A1120,A1120_1
34,1,A0302402,A03,20,"[44.25, 6.0, 1]",A0302,A0302_1
37,1,A0321403,A03,20,"[45.5, 22.5, 1]",A0321,A0321_1
40,1,A0919502,A09,20,"[26, 21.0, 1]",A0919,A0919_1
43,1,A0320505,A03,20,"[44.25, 21.0, 1]",A0320,A0320_1
47,1,A0506502,A05,20,"[37.75, 10.5, 1]",A0506,A0506_1
49,1,A0512402,A05,20,"[37.75, 15.0, 1]",A0512,A0512_1
50,1,A0621204,A06,20,"[35.75, 22.5, 1]",A0621,A0621_1
51,1,A0317501,A03,20,"[45.5, 19.5, 1]",A0317,A0317_1
52,1,A0314404,A03,20,"[44.25, 16.5, 1]",A0314,A0314_1
57,1,A0904101,A09,20,"[24, 9.0, 1]",A0904,A0904_1
59,1,A0711102,A07,20,"[32.5, 15.0, 1]",A0711,A0711_1
61,1,A0520304,A05,20,"[37.75, 21.0, 1]",A0520,A0520_1
66,1,A0614103,A06,20,"[34.5, 16.5, 1]",A0614,A0614_1
67,1,A0412503,A04,20,"[41.0, 15.0, 1]",A0412,A0412_1
68,1,A0906503,A09,20,"[24, 10.5, 1]",A0906,A0906_1
69,2,A0510402,A05,20,"[37.75, 13.5, 1]",A0510,A0510_1
70,2,A1007501,A10,20,"[22.75, 12.0, 1]",A1004,A1004_2
73,1,A0612503,A06,20,"[34.5, 15.0, 1]",A0612,A0612_1
74,1,A0710204,A07,20,"[31.25, 13.5, 1]",A0706,A0706_2
77,1,A0416404,A04,20,"[41.0, 18.0, 1]",A0416,A0416_1
78,1,A0914502,A09,20,"[24, 16.5, 1]",A0906,A0906_2
79,1,A1009503,A10,20,"[22.75, 13.5, 1]",A1004,A1004_3
80,1,A0916101,A09,20,"[24, 18.0, 1]",A0906,A0906_3
81,1,A0407103,A04,20,"[42.25, 12.0, 1]",A0407,A0407_1
82,1,A1014403,A10,20,"[20.75, 16.5, 1]",A1008,A1008_1
83,1,A0604504,A06,20,"[34.5, 9.0, 1]",A0604,A0604_1
85,1,A0918103,A09,20,"[24, 19.5, 1]",A0918,A0918_1
86,1,A0312506,A03,20,"[44.25, 15.0, 1]",A0312,A0312_1
87,1,A0911204,A09,20,"[26, 15.0, 1]",A0911,A0911_1
89,1,A0606502,A06,20,"[34.5, 10.5, 1]",A0606,A0606_1
90,1,A0920204,A09,20,"[24, 21.0, 1]",A0920,A0920_1
93,1,A0610401,A06,20,"[34.5, 13.5, 1]",A0610,A0610_1
95,1,A0917401,A09,20,"[26, 19.5, 1]",A0911,A0911_2
98,1,A1008402,A10,20,"[20.75, 12.0, 1]",A1008,A1008_2
99,1,A0313306,A03,20,"[45.5, 16.5, 1]",A0313,A0313_1
100,2,A0608204,A06,20,"[34.5, 12.0, 1]",A0608,A0608_1
