STT,PCS,Location,Alley_Number,Quantity,Coord,ProductID,SubProductID,QuantityTaken,Case
0.0,1.0,A1119504,A11,0.0,"[19.5, 21.0, 1]",A1117,A1117_1,4.0,0.0
0.0,1.0,A1119504,A11,0.0,"[19.5, 21.0, 1]",A1117,A1117_1,4.0,0.0
1.0,1.0,A0721204,A07,0.0,"[32.5, 22.5, 1]",A0721,A0721_1,20.0,0.0
1.0,1.0,A0721204,A07,0.0,"[32.5, 22.5, 1]",A0721,A0721_1,20.0,0.0
5.0,1.0,A0308201,A03,15.0,"[44.25, 12.0, 1]",A0308,A0308_1,5.0,0.0
5.0,1.0,A0308201,A03,15.0,"[44.25, 12.0, 1]",A0308,A0308_1,5.0,0.0
6.0,1.0,A0403203,A04,10.0,"[42.25, 9.0, 1]",A0403,A0403_1,10.0,0.0
6.0,1.0,A0403203,A04,10.0,"[42.25, 9.0, 1]",A0403,A0403_1,10.0,0.0
29.0,1.0,A0310504,A03,19.0,"[44.25, 13.5, 1]",A1117,A1117_2,1.0,1.0
29.0,1.0,A0310504,A03,20.0,"[44.25, 13.5, 1]",A1117,A1117_2,0.0,0.0
31.0,1.0,A1117201,A11,19.0,"[19.5, 19.5, 1]",A1117,A1117_3,1.0,1.0
31.0,1.0,A1117201,A11,19.0,"[19.5, 19.5, 1]",A1117,A1117_3,1.0,2.0
,,,,,,,,1.0,2.0
