STT,PCS,Location,Alley_Number,Quantity,Coord,ProductID
0,1,A1119504,A11,20,"[19.5, 21.0, 1]",A1117
1,1,A0721204,A07,20,"[32.5, 22.5, 1]",A0721
3,1,A0706401,A07,20,"[31.25, 10.5, 1]",A0706
4,1,A0216107,A02,20,"[47.5, 18.0, 1]",A0216
5,1,A0308201,A03,20,"[44.25, 12.0, 1]",A0308
6,1,A0403203,A04,20,"[42.25, 9.0, 1]",A0403
7,2,A0503203,A05,20,"[39.0, 9.0, 1]",A0503
8,1,A1020501,A10,20,"[20.75, 21.0, 1]",A1020
10,1,A0719102,A07,20,"[32.5, 21.0, 1]",A0719
11,1,A0714203,A07,20,"[31.25, 16.5, 1]",A0714
13,1,A0309308,A03,20,"[45.5, 13.5, 1]",A0309
15,1,A0322308,A03,20,"[44.25, 22.5, 1]",A0322
18,1,A0609202,A06,20,"[35.75, 13.5, 1]",A0609
21,1,A1011204,A10,20,"[22.75, 15.0, 1]",A1011
23,1,A0410303,A04,20,"[41.0, 13.5, 1]",A0410
24,1,A0507401,A05,20,"[39.0, 12.0, 1]",A0507
25,1,A0306304,A03,20,"[44.25, 10.5, 1]",A0306
26,1,A1004103,A10,20,"[20.75, 9.0, 1]",A1004
27,2,A0202206,A02,20,"[47.5, 6.0, 1]",A0202
28,1,A0413203,A04,20,"[42.25, 16.5, 1]",A0413
29,1,A0310504,A03,20,"[44.25, 13.5, 1]",A0310
31,1,A1117201,A11,20,"[19.5, 19.5, 1]",A1117
33,2,A1120101,A11,20,"[15.25, 21.0, 1]",A1120
34,1,A0302402,A03,20,"[44.25, 6.0, 1]",A0302
37,1,A0321403,A03,20,"[45.5, 22.5, 1]",A0321
40,1,A0919502,A09,20,"[26, 21.0, 1]",A0919
43,1,A0320505,A03,20,"[44.25, 21.0, 1]",A0320
47,1,A0506502,A05,20,"[37.75, 10.5, 1]",A0506
49,1,A0512402,A05,20,"[37.75, 15.0, 1]",A0512
50,1,A0621204,A06,20,"[35.75, 22.5, 1]",A0621
51,1,A0317501,A03,20,"[45.5, 19.5, 1]",A0317
52,1,A0314404,A03,20,"[44.25, 16.5, 1]",A0314
57,1,A0904101,A09,20,"[24, 9.0, 1]",A0904
59,1,A0711102,A07,20,"[32.5, 15.0, 1]",A0711
61,1,A0520304,A05,20,"[37.75, 21.0, 1]",A0520
66,1,A0614103,A06,20,"[34.5, 16.5, 1]",A0614
67,1,A0412503,A04,20,"[41.0, 15.0, 1]",A0412
68,1,A0906503,A09,20,"[24, 10.5, 1]",A0906
69,2,A0510402,A05,20,"[37.75, 13.5, 1]",A0510
70,2,A1007501,A10,20,"[22.75, 12.0, 1]",A1004
73,1,A0612503,A06,20,"[34.5, 15.0, 1]",A0612
74,1,A0710204,A07,20,"[31.25, 13.5, 1]",A0706
77,1,A0416404,A04,20,"[41.0, 18.0, 1]",A0416
78,1,A0914502,A09,20,"[24, 16.5, 1]",A0906
79,1,A1009503,A10,20,"[22.75, 13.5, 1]",A1004
80,1,A0916101,A09,20,"[24, 18.0, 1]",A0906
81,1,A0407103,A04,20,"[42.25, 12.0, 1]",A0407
82,1,A1014403,A10,20,"[20.75, 16.5, 1]",A1008
83,1,A0604504,A06,20,"[34.5, 9.0, 1]",A0604
85,1,A0918103,A09,20,"[24, 19.5, 1]",A0918
86,1,A0312506,A03,20,"[44.25, 15.0, 1]",A0312
87,1,A0911204,A09,20,"[26, 15.0, 1]",A0911
89,1,A0606502,A06,20,"[34.5, 10.5, 1]",A0606
90,1,A0920204,A09,20,"[24, 21.0, 1]",A0920
93,1,A0610401,A06,20,"[34.5, 13.5, 1]",A0610
95,1,A0917401,A09,20,"[26, 19.5, 1]",A0911
98,1,A1008402,A10,20,"[20.75, 12.0, 1]",A1008
99,1,A0313306,A03,20,"[45.5, 16.5, 1]",A0313
100,2,A0608204,A06,20,"[34.5, 12.0, 1]",A0608
