,STT,OrderNumber,ProductID,QuantityOrder,Order,OrderID,WaveID
0,0,3780678,A1117,5,1,1,1
1,1,3780650,A0721,10,2,2,1
2,2,3780649,A0721,11,3,3,1
3,3,3780649,A0308,5,3,3,1
4,4,3780649,A0403,10,3,3,1
5,5,3780641,A0714,5,4,4,2
6,6,3780633,A0714,5,5,5,2
7,7,3780621,A0322,5,6,6,2
8,8,3780621,A1117,5,6,6,2
9,9,3780618,A1011,5,7,7,3
10,10,3780596,A0410,5,8,8,3
11,11,3780596,A0507,5,8,8,3
12,12,3780559,A0306,5,9,9,3
13,13,3780559,A1004,5,9,9,3
14,14,3780559,A0413,5,9,9,3
15,15,3780559,A1120,5,9,9,3
16,16,3780559,A0321,5,9,9,3
17,17,3780559,A0320,5,9,9,3
18,18,3780559,A0506,5,9,9,3
19,19,3780559,A0621,5,9,9,3
