Wave_Number,Distance_Route,Chemins,Orders_Number,Total_Distance
0,81.0,"[[0, 0], [19.5, 0], [19.5, 21.0], [19.5, 0], [0, 0]]",1,2584.0
1,112.0,"[[0, 0], [41.0, 0], [41.0, 15.0], [41.0, 0], [0, 0]]",1,2584.0
2,59.5,"[[0, 0], [20.75, 0], [20.75, 9.0], [20.75, 0], [0, 0]]",1,2584.0
3,125.5,"[[0, 0], [22.75, 0], [22.75, 12.0], [22.75, 25], [37.75, 25], [37.75, 13.5], [37.75, 0], [0, 0]]",1,2584.0
4,69.0,"[[0, 0], [24, 0], [24, 10.5], [24, 0], [0, 0]]",1,2584.0
5,112.0,"[[0, 0], [41.0, 0], [41.0, 15.0], [41.0, 0], [0, 0]]",1,2584.0
6,102.0,"[[0, 0], [34.5, 0], [34.5, 16.5], [34.5, 0], [0, 0]]",1,2584.0
7,107.0,"[[0, 0], [47.5, 0], [47.5, 6.0], [47.5, 0], [0, 0]]",1,2584.0
8,81.0,"[[0, 0], [19.5, 0], [19.5, 21.0], [19.5, 0], [0, 0]]",1,2584.0
9,81.0,"[[0, 0], [19.5, 0], [19.5, 21.0], [19.5, 0], [0, 0]]",1,2584.0
10,96.0,"[[0, 0], [39.0, 0], [39.0, 9.0], [39.0, 0], [0, 0]]",1,2584.0
11,125.5,"[[0, 0], [19.5, 0], [19.5, 21.0], [19.5, 25], [37.75, 25], [37.75, 21.0], [37.75, 0], [0, 0]]",1,2584.0
12,95.0,"[[0, 0], [32.5, 0], [32.5, 15.0], [32.5, 0], [0, 0]]",1,2584.0
13,107.0,"[[0, 0], [32.5, 0], [32.5, 21.0], [32.5, 0], [0, 0]]",1,2584.0
14,66.0,"[[0, 0], [24, 0], [24, 9.0], [24, 0], [0, 0]]",1,2584.0
15,81.0,"[[0, 0], [19.5, 0], [19.5, 21.0], [19.5, 0], [0, 0]]",1,2584.0
16,138.5,"[[0, 0], [19.5, 0], [19.5, 21.0], [19.5, 25], [44.25, 25], [44.25, 16.5], [44.25, 0], [0, 0]]",1,2584.0
17,138.5,"[[0, 0], [19.5, 0], [19.5, 21.0], [19.5, 25], [44.25, 25], [44.25, 16.5], [44.25, 0], [0, 0]]",1,2584.0
18,119.0,"[[0, 0], [31.25, 0], [31.25, 13.5], [31.25, 25], [34.5, 25], [34.5, 15.0], [34.5, 15.0], [34.5, 0], [0, 0]]",1,2584.0
19,65.5,"[[0, 0], [20.75, 0], [20.75, 12.0], [20.75, 0], [0, 0]]",1,2584.0
20,72.5,"[[0, 0], [22.75, 0], [22.75, 13.5], [22.75, 0], [0, 0]]",1,2584.0
21,130.0,"[[0, 0], [24, 0], [24, 18.0], [24, 25], [26, 25], [26, 21.0], [26, 19.5], [26, 25], [34.5, 25], [34.5, 13.5], [34.5, 0], [0, 0]]",1,2584.0
