Wave_Number,Distance_Route,Chemins,Orders_Number,Order_ID,Status
0,81.0,"[[0, 0, 0], [19.5, 0, 0], [19.5, 21.0, 1], [19.5, 0, 0], [0, 0, 0]]",1,[3780678],1
1,128.0,"[[0, 0, 0], [20.75, 0, 0], [20.75, 21.0, 1], [20.75, 25, 0], [39.0, 25, 0], [39.0, 9.0, 1], [39.0, 0, 0], [0, 0, 0]]",1,[3780621],1
2,223.5,"[[0, 0, 0], [22.75, 0, 0], [22.75, 15.0, 1], [22.75, 25, 0], [19.5, 25, 0], [19.5, 21.0, 1], [19.5, 25, 0], [31.25, 25, 0], [31.25, 16.5, 1], [31.25, 16.5, 1], [31.25, 25, 0], [44.25, 25, 0], [44.25, 22.5, 1], [44.25, 25, 0], [45.5, 25, 0], [45.5, 13.5, 1], [45.5, 25, 0], [35.75, 25, 0], [35.75, 13.5, 1], [35.75, 25, 0], [34.5, 25, 0], [34.5, 12.0, 1], [34.5, 0, 0], [0, 0, 0]]",1,[3780559],1
3,156.0,"[[0, 0, 0], [15.25, 0, 0], [15.25, 21.0, 1], [15.25, 25, 0], [19.5, 25, 0], [19.5, 19.5, 1], [19.5, 25, 0], [31.25, 25, 0], [31.25, 16.5, 1], [31.25, 25, 0], [39.0, 25, 0], [39.0, 12.0, 1], [39.0, 0, 0], [0, 0, 0]]",1,[3780497],1
4,141.0,"[[0, 0, 0], [19.5, 0, 0], [19.5, 21.0, 1], [19.5, 25, 0], [45.5, 25, 0], [45.5, 22.5, 1], [45.5, 0, 0], [0, 0, 0]]",1,[3780482],1
5,141.0,"[[0, 0, 0], [19.5, 0, 0], [19.5, 21.0, 1], [19.5, 25, 0], [45.5, 25, 0], [45.5, 13.5, 1], [45.5, 0, 0], [0, 0, 0]]",1,[3780450],1
6,125.5,"[[0, 0, 0], [26, 0, 0], [26, 21.0, 1], [26, 25, 0], [37.75, 25, 0], [37.75, 10.5, 1], [37.75, 0, 0], [0, 0, 0]]",1,[3780122],1
7,138.5,"[[0, 0, 0], [19.5, 0, 0], [19.5, 21.0, 1], [19.5, 25, 0], [44.25, 25, 0], [44.25, 16.5, 1], [44.25, 0, 0], [0, 0, 0]]",1,[3780080],1
8,138.5,"[[0, 0, 0], [19.5, 0, 0], [19.5, 21.0, 1], [19.5, 25, 0], [44.25, 25, 0], [44.25, 16.5, 1], [44.25, 0, 0], [0, 0, 0]]",1,[3780069],1
9,108.0,"[[0, 0, 0], [20.75, 0, 0], [20.75, 9.0, 1], [20.75, 0, 0], [24, 0, 0], [24, 9.0, 1], [24, 21.0, 1], [24, 0, 0], [0, 0, 0]]",1,[3781521],1
